accreditation,city,clickUri,combined_program,degree_program,distance_learning,email,excerpt,institution,location,phone,state,title,uri,website,zip
,Mobile,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=2b3ceed8-7d74-4605-a2cb-dfedbf44fc59&efp=583&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Mobile, Alabama",,['Alabama'],University of South Alabama: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=2b3ceed8-7d74-4605-a2cb-dfedbf44fc59&efp=583&site=ashacms&webcode=edfinddetail,,36688-0002
,Waco,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=1d005868-3da2-4696-8ffd-c3e20b8501e2&efp=476&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Waco, Texas",,['Texas'],Baylor University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=1d005868-3da2-4696-8ffd-c3e20b8501e2&efp=476&site=ashacms&webcode=edfinddetail,,76798-7332
,Bluffton,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=9c0c29d1-ca91-4c90-9102-5f90c0b43157&efp=419&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Bluffton, Ohio",,['Ohio'],Bluffton University: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=9c0c29d1-ca91-4c90-9102-5f90c0b43157&efp=419&site=ashacms&webcode=edfinddetail,,45817
,East Stroudsburg,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=b4372de4-74d4-4e02-b441-90495c565127&efp=115&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"East Stroudsburg, Pennsylvania",,['Pennsylvania'],East Stroudsburg University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=b4372de4-74d4-4e02-b441-90495c565127&efp=115&site=ashacms&webcode=edfinddetail,,18301
,Charleston,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=44cf326e-4023-4b4a-bbb3-1fba4488467b&efp=306&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Charleston, Illinois",,['Illinois'],Eastern Illinois University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=44cf326e-4023-4b4a-bbb3-1fba4488467b&efp=306&site=ashacms&webcode=edfinddetail,,61920-3099
,Springfield,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=133dd599-c5f1-4a09-80ca-929550858c7f&efp=526&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Springfield, Missouri",,['Missouri'],Missouri State University : Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=133dd599-c5f1-4a09-80ca-929550858c7f&efp=526&site=ashacms&webcode=edfinddetail,,65897
,Lincoln,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=85c1c0c3-c4a3-40ae-ad10-1644d05fa9c6&efp=522&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Lincoln, Nebraska",,['Nebraska'],"University of Nebraska, Lincoln: Bachelor of Science (BS)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=85c1c0c3-c4a3-40ae-ad10-1644d05fa9c6&efp=522&site=ashacms&webcode=edfinddetail,,68583
,San Juan,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=708c90fe-9427-4cb2-afe8-140e5d50b472&efp=996&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"San Juan, Puerto Rico",,['Puerto Rico'],Carlos Albizu University : Other bachelor’s degree with a major in the field of communication sciences and disorders (Other),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=708c90fe-9427-4cb2-afe8-140e5d50b472&efp=996&site=ashacms&webcode=edfinddetail,,00902-3711
,Loma Linda,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=38caae10-5dce-46f6-abb4-a72908c1ec26&efp=363&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Loma Linda, California",,['California'],Loma Linda University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=38caae10-5dce-46f6-abb4-a72908c1ec26&efp=363&site=ashacms&webcode=edfinddetail,,92350
,Greeley,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=8c81c807-8342-48f7-82bf-f5e60ec9b377&efp=194&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Greeley, Colorado",,['Colorado'],University of Northern Colorado: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=8c81c807-8342-48f7-82bf-f5e60ec9b377&efp=194&site=ashacms&webcode=edfinddetail,,80639
